Pattern: CDLSPINNINGTOP, Explanation: 陀螺 - 表示市場不確定性，具有小實體和較長的上下影線，顯示買賣雙方均無法取得明顯優勢。
Stock: 5880.TW, Signal: -100
Stock: 6416.TW, Signal: 100
Stock: 6438.TW, Signal: 100
Stock: 8039.TW, Signal: 100
Stock: 8466.TW, Signal: 100
Stock: 9925.TW, Signal: 100


Pattern: CDLHIKKAKE, Explanation: 欺詐模式，反轉或趨勢延續的信號。
Stock: 1310.TW, Signal: 200
Stock: 1449.TW, Signal: -100
Stock: 1452.TW, Signal: 100
Stock: 1528.TW, Signal: 100
Stock: 1529.TW, Signal: -100
Stock: 1612.TW, Signal: -100
Stock: 1727.TW, Signal: 100
Stock: 1789.TW, Signal: 100
Stock: 1810.TW, Signal: -100
Stock: 2008.TW, Signal: -200
Stock: 2059.TW, Signal: -100
Stock: 2106.TW, Signal: 100
Stock: 2206.TW, Signal: 100
Stock: 2241.TW, Signal: -100
Stock: 2351.TW, Signal: -100
Stock: 2356.TW, Signal: -100
Stock: 2387.TW, Signal: -100
Stock: 2392.TW, Signal: -100
Stock: 2399.TW, Signal: -100
Stock: 2408.TW, Signal: 200
Stock: 2419.TW, Signal: -100
Stock: 2423.TW, Signal: 100
Stock: 2439.TW, Signal: -100
Stock: 2454.TW, Signal: 100
Stock: 2464.TW, Signal: 200
Stock: 2467.TW, Signal: 100
Stock: 2476.TW, Signal: 100
Stock: 2524.TW, Signal: 200
Stock: 2633.TW, Signal: 100
Stock: 2634.TW, Signal: -100
Stock: 2882.TW, Signal: -100
Stock: 3004.TW, Signal: 200
Stock: 3006.TW, Signal: 200
Stock: 3008.TW, Signal: 100
Stock: 3030.TW, Signal: 100
Stock: 3038.TW, Signal: -100
Stock: 3049.TW, Signal: 200
Stock: 3062.TW, Signal: 200
Stock: 3092.TW, Signal: -100
Stock: 3416.TW, Signal: -100
Stock: 3515.TW, Signal: -100
Stock: 3563.TW, Signal: 200
Stock: 3622.TW, Signal: 200
Stock: 3653.TW, Signal: -100
Stock: 3669.TW, Signal: -200
Stock: 4164.TW, Signal: -100
Stock: 4588.TW, Signal: 100
Stock: 5546.TW, Signal: -100
Stock: 6116.TW, Signal: 200
Stock: 6117.TW, Signal: 100
Stock: 6202.TW, Signal: -100
Stock: 6209.TW, Signal: 100
Stock: 6281.TW, Signal: -200
Stock: 6409.TW, Signal: 100
Stock: 6451.TW, Signal: -100
Stock: 6531.TW, Signal: -100
Stock: 6550.TW, Signal: -100
Stock: 6558.TW, Signal: -100
Stock: 6581.TW, Signal: 100
Stock: 6582.TW, Signal: 100
Stock: 6591.TW, Signal: 100
Stock: 6669.TW, Signal: -100
Stock: 6672.TW, Signal: -100
Stock: 6770.TW, Signal: 100
Stock: 6805.TW, Signal: 100
Stock: 6807.TW, Signal: 200
Stock: 8016.TW, Signal: 100
Stock: 8101.TW, Signal: -100
Stock: 8104.TW, Signal: -100
Stock: 8112.TW, Signal: -100
Stock: 8201.TW, Signal: 200
Stock: 8213.TW, Signal: -100
Stock: 8367.TW, Signal: -100
Stock: 8429.TW, Signal: -100
Stock: 8464.TW, Signal: 100
Stock: 8481.TW, Signal: -100
Stock: 9938.TW, Signal: 100


Pattern: CDLHAMMER, Explanation: 錘子，看漲反轉模式。
Stock: 1319.TW, Signal: 100
Stock: 1443.TW, Signal: 100
Stock: 1455.TW, Signal: 100
Stock: 1464.TW, Signal: 100
Stock: 1536.TW, Signal: 100
Stock: 1560.TW, Signal: 100
Stock: 1711.TW, Signal: 100
Stock: 2472.TW, Signal: 100
Stock: 2483.TW, Signal: 100
Stock: 2488.TW, Signal: 100
Stock: 2605.TW, Signal: 100
Stock: 2612.TW, Signal: 100
Stock: 2615.TW, Signal: 100
Stock: 2706.TW, Signal: 100
Stock: 2945.TW, Signal: 100
Stock: 3029.TW, Signal: 100
Stock: 6243.TW, Signal: 100
Stock: 6269.TW, Signal: 100
Stock: 9910.TW, Signal: 100


Pattern: CDLDOJI, Explanation: 十字星，代表市場猶豫不決。
Stock: 1324.TW, Signal: 100
Stock: 1417.TW, Signal: 100
Stock: 1476.TW, Signal: 100
Stock: 1721.TW, Signal: 100
Stock: 1802.TW, Signal: 100
Stock: 2007.TW, Signal: 100
Stock: 2014.TW, Signal: 100
Stock: 2031.TW, Signal: 100
Stock: 2102.TW, Signal: 100
Stock: 2204.TW, Signal: 100
Stock: 2323.TW, Signal: 100
Stock: 2342.TW, Signal: 100
Stock: 2353.TW, Signal: 100
Stock: 2397.TW, Signal: 100
Stock: 2420.TW, Signal: 100
Stock: 2534.TW, Signal: 100
Stock: 2701.TW, Signal: 100
Stock: 2812.TW, Signal: 100
Stock: 3003.TW, Signal: 100
Stock: 3015.TW, Signal: 100
Stock: 3037.TW, Signal: 100
Stock: 3189.TW, Signal: 100
Stock: 3308.TW, Signal: 100
Stock: 3312.TW, Signal: 100
Stock: 3419.TW, Signal: 100
Stock: 3443.TW, Signal: 100
Stock: 3532.TW, Signal: 100
Stock: 3557.TW, Signal: 100
Stock: 3576.TW, Signal: 100
Stock: 4119.TW, Signal: 100
Stock: 4137.TW, Signal: 100
Stock: 4755.TW, Signal: 100
Stock: 6164.TW, Signal: 100
Stock: 6196.TW, Signal: 100
Stock: 6285.TW, Signal: 100
Stock: 6658.TW, Signal: 100
Stock: 8210.TW, Signal: 100
Stock: 8249.TW, Signal: 100
Stock: 8462.TW, Signal: 100
Stock: 9937.TW, Signal: 100
Stock: 9958.TW, Signal: 100


Pattern: CDLGRAVESTONEDOJI, Explanation: 墓碑Doji，看跌反轉信號。
Stock: 1338.TW, Signal: 100
Stock: 1441.TW, Signal: 100
Stock: 2849.TW, Signal: 100
Stock: 2911.TW, Signal: 100
Stock: 3056.TW, Signal: 100
Stock: 4438.TW, Signal: 100
Stock: 4526.TW, Signal: 100
Stock: 4569.TW, Signal: 100
Stock: 6024.TW, Signal: 100
Stock: 6141.TW, Signal: 100
Stock: 6442.TW, Signal: 100
Stock: 6552.TW, Signal: 100


Pattern: CDLUNIQUE3RIVER, Explanation: 獨特三河床，看漲的底部反轉模式。
Stock: 1340.TW, Signal: 100
Stock: 1714.TW, Signal: 100
Stock: 2421.TW, Signal: 100
Stock: 4552.TW, Signal: 100


Pattern: CDLDRAGONFLYDOJI, Explanation: 蜻蜓十字/蜻蜓Doji，看漲的反轉信號。
Stock: 1341.TW, Signal: 100
Stock: 1432.TW, Signal: 100
Stock: 1519.TW, Signal: 100
Stock: 1909.TW, Signal: 100
Stock: 2347.TW, Signal: 100
Stock: 3060.TW, Signal: 100
Stock: 3588.TW, Signal: 100
Stock: 6666.TW, Signal: 100
Stock: 6671.TW, Signal: 100
Stock: 6916.TW, Signal: 100


Pattern: CDLENGULFING, Explanation: 吞噬模式 - 一個重要的反轉模式，由一小根蠟燭被一大根相反顏色的蠟燭完全覆蓋形成。看跌吞噬表示賣方控制，看漲吞噬表示買方控制。
Stock: 1460.TW, Signal: 100
Stock: 1466.TW, Signal: -100
Stock: 1504.TW, Signal: -100
Stock: 1513.TW, Signal: -100
Stock: 1590.TW, Signal: 100
Stock: 1732.TW, Signal: -100
Stock: 1773.TW, Signal: -100
Stock: 2236.TW, Signal: -100
Stock: 2239.TW, Signal: -100
Stock: 2402.TW, Signal: -100
Stock: 2429.TW, Signal: -100
Stock: 2451.TW, Signal: -100
Stock: 2495.TW, Signal: 100
Stock: 2850.TW, Signal: -100
Stock: 2867.TW, Signal: -100
Stock: 3036.TW, Signal: -100
Stock: 3059.TW, Signal: 100
Stock: 3167.TW, Signal: 100
Stock: 3592.TW, Signal: -100
Stock: 3706.TW, Signal: -100
Stock: 3715.TW, Signal: -100
Stock: 4540.TW, Signal: -100
Stock: 5469.TW, Signal: -100
Stock: 6177.TW, Signal: 100
Stock: 6213.TW, Signal: -100
Stock: 6515.TW, Signal: -100
Stock: 8271.TW, Signal: -100
Stock: 8482.TW, Signal: -100


Pattern: CDLDOJISTAR, Explanation: 十字星，是潛在的反轉信號。
Stock: 1503.TW, Signal: -100
Stock: 2915.TW, Signal: -100
Stock: 5876.TW, Signal: -100
Stock: 8374.TW, Signal: 100


Pattern: CDLHARAMICROSS, Explanation: 十字懷孕，潛在的反轉信號。
Stock: 1512.TW, Signal: -100
Stock: 1521.TW, Signal: 100
Stock: 6834.TW, Signal: -100


Pattern: CDLMATCHINGLOW, Explanation: 相同低點，看漲反轉模式。
Stock: 1517.TW, Signal: 100
Stock: 1558.TW, Signal: 100
Stock: 1737.TW, Signal: 100
Stock: 1776.TW, Signal: 100
Stock: 2329.TW, Signal: 100
Stock: 2426.TW, Signal: 100
Stock: 2530.TW, Signal: 100
Stock: 2908.TW, Signal: 100
Stock: 3543.TW, Signal: 100
Stock: 3596.TW, Signal: 100
Stock: 3714.TW, Signal: 100
Stock: 4532.TW, Signal: 100
Stock: 4562.TW, Signal: 100
Stock: 4961.TW, Signal: 100
Stock: 5608.TW, Signal: 100
Stock: 6224.TW, Signal: 100
Stock: 6533.TW, Signal: 100
Stock: 6754.TW, Signal: 100
Stock: 6863.TW, Signal: 100
Stock: 8467.TW, Signal: 100
Stock: 8476.TW, Signal: 100
Stock: 8926.TW, Signal: 100
Stock: 8940.TW, Signal: 100
Stock: 9902.TW, Signal: 100


Pattern: CDL3OUTSIDE, Explanation: 三外部上升和下降，指一個趨勢的延續或反轉。
Stock: 1608.TW, Signal: 100
Stock: 2305.TW, Signal: -100
Stock: 4142.TW, Signal: -100
Stock: 4771.TW, Signal: 100


Pattern: CDLHOMINGPIGEON, Explanation: 歸鴿，看漲的持續模式。
Stock: 1701.TW, Signal: 100


Pattern: CDLCOUNTERATTACK, Explanation: 反擊線，看跌或看漲的反轉模式。
Stock: 1707.TW, Signal: -100
Stock: 2801.TW, Signal: -100


Pattern: CDLRICKSHAWMAN, Explanation: 人力車夫Doji，市場不確定性的象徵。
Stock: 2313.TW, Signal: 100
Stock: 2352.TW, Signal: 100
Stock: 2414.TW, Signal: 100
Stock: 2537.TW, Signal: 100
Stock: 2538.TW, Signal: 100
Stock: 2607.TW, Signal: 100
Stock: 2836.TW, Signal: 100
Stock: 2855.TW, Signal: 100
Stock: 3046.TW, Signal: 100
Stock: 3149.TW, Signal: 100
Stock: 3437.TW, Signal: 100
Stock: 3661.TW, Signal: 100
Stock: 4104.TW, Signal: 100
Stock: 4581.TW, Signal: 100
Stock: 4930.TW, Signal: 100
Stock: 4942.TW, Signal: 100
Stock: 4956.TW, Signal: 100
Stock: 4999.TW, Signal: 100
Stock: 6491.TW, Signal: 100
Stock: 6742.TW, Signal: 100
Stock: 9945.TW, Signal: 100


Pattern: CDLPIERCING, Explanation: 刺透模式，看漲反轉模式。
Stock: 2458.TW, Signal: 100


Pattern: CDLSTICKSANDWICH, Explanation: 棒子三明治，看漲反轉模式。
Stock: 2881.TW, Signal: 100
Stock: 6206.TW, Signal: 100


Pattern: CDLSEPARATINGLINES, Explanation: 分離線，趨勢延續的信號。
Stock: 2885.TW, Signal: 100
Stock: 2904.TW, Signal: -100


Pattern: CDLIDENTICAL3CROWS, Explanation: 同形三烏鴉，一個強烈的看跌反轉模式。
Stock: 3024.TW, Signal: -100


Pattern: CDLTASUKIGAP, Explanation: 透空隙，趨勢延續的信號。
Stock: 3041.TW, Signal: 100
Stock: 4994.TW, Signal: -100
Stock: 5607.TW, Signal: 100


Pattern: CDLXSIDEGAP3METHODS, Explanation: 交叉跳空三方法，趨勢延續的信號。
Stock: 4722.TW, Signal: 100


Pattern: CDLEVENINGSTAR, Explanation: 暮星，另一種看跌反轉模式。
Stock: 5225.TW, Signal: -100


Pattern: CDLUPSIDEGAP2CROWS, Explanation: 上升跳空二烏鴉，看跌反轉模式。
Stock: 6166.TW, Signal: -100


Pattern: CDL2CROWS, Explanation: 二烏鴉，一個看跌反轉模式，出現在上升趨勢的頂部。
Stock: 6414.TW, Signal: -100


Pattern: CDLGAPSIDESIDEWHITE, Explanation: 跳空並列白線 - 出現在上升趨勢中，是持續上升的信號，由兩根大的白色蠟燭組成，第二根蠟燭開盤價高於第一根的收盤價，但並未超過其最高價。
Stock: 6657.TW, Signal: -100


